Rank;SailNo;HelmName;Club;Nett;
1st;4017;Franco Sanchez;CNMP - Club Náutico Mar del Plata;17.0;
2nd;3752;Bruno Römer;CRR - Club de Regatas Rosario;21.0;
3rd;3842;Franco Blousson;YCA - Yacht Club Argentino;26.0;
4th;3847;Pipo Giroud;CPNLB - Club de Pesca y Náutica Las Barr;32.0;
5th;3911;Carolina Barcelo;CNQ - Club Náutico Quilmes;35.0;
6th;4022;Tomas Conte;CVB - Club de Veleros Barlovento;35.0;
7th;3812;Lara Perry;CNSI - Club Náutico San Isidro;36.0;
8th;3965;Juliana Magnani;CNSA - Club Náutico Sportivo Avellaneda;41.0;
9th;3966;Lucas Andrés Vogt;YCR - Yacht Club Rosario;41.0;
10th;3939;Felix Llauro;YCA - Yacht Club Argentino;42.0;
11th;3988;Clara Sabattini;Club Remeros Alberdi;45.0;
12th;4015;Federico Hormaiztegui;CVR - Club de Velas Rosario;46.0;
13th;3947;Joaquin Blousson;YCA - Yacht Club Argentino;46.0;
14th;4057;Justo Bracco;CVB - Club de Veleros Barlovento;47.0;
15th;4027;Felipe Hariri;CUBA - Club Universitario de Buenos Aire;49.0;
16th;3645;Isabel Gibert;CUBA - Club Universitario de Buenos Aire;51.0;
17th;3849;Mateo Cella Landi;CNSE - Club Náutico Sudeste;52.0;
18th;3992;Mia Meynet;CNSA - Club Náutico Sportivo Avellaneda;55.0;
19th;3898;Bautista Iriberri;CVB - Club de Veleros Barlovento;55.0;
20th;3889;Manuel Cichowolski;CPNLB - Club de Pesca y Náutica Las Barr;56.0;
21st;3913;Nicolas Menéndez;CVB - Club de Veleros Barlovento;57.0;
22nd;3785;Joaquin Verna;CRLP - Club de Regatas La Plata;61.0;
23rd;3675;Lucia Funes de Rioja;YCA - Yacht Club Argentino;62.0;
24th;3688;Felipe Massa Galli;CNSE - Club Náutico Sudeste;62.0;
25th;3885;Delfina Kuttel;CNSP - Club Náutico San Pedro;62.0;
26th;3584;Alejandro Caranti;CNSI - Club Náutico San Isidro;62.0;
27th;4064;Salvador Iudica;CNJ - Club Náutico Junin;63.0;
28th;4020;Mateo Castañer;CNMP - Club Náutico Mar del Plata;64.0;
29th;3956;Valentín Guillermo Hock;CNP - Club Náutico Paraná;64.0;
30th;3799;Eugenio Bradley;CNSI - Club Náutico San Isidro;66.0;
31st;3936;Juan Ignacio Borobia Pederiva;YCA - Yacht Club Argentino;70.0;
32nd;3699;Salvador López;CRR - Club de Regatas Rosario;73.0;
33rd;3894;Luca Barutta;CNMP - Club Náutico Mar del Plata;73.0;
34th;4040;Ma Clara López Tilli;CUBA - Club Universitario de Buenos Aire;73.0;
35th;3643;Franco Cazamajou;CVB - Club de Veleros Barlovento;76.0;
36th;4032;Joaquin Balbuena;CPNLB - Club de Pesca y Náutica Las Barr;79.0;
37th;3736;Felix Adlercreutz;CUBA - Club Universitario de Buenos Aire;79.0;
38th;4016;Victoria Hernaez;CVR - Club de Velas Rosario;80.0;
39th;3887;Andres Lopez Oriolo;CUBA - Club Universitario de Buenos Aire;84.0;
40th;3943;Agustina Argüelles;YCA - Yacht Club Argentino;84.0;
41st;3726;Pedro Bearzotti;RRC - Rosario Rowing Club;85.0;
42nd;3601;Nicolas Leonardo;CRSN - Club de Regatas San Nicolas;86.0;
43rd;3816;Antonia Mosquera;CNMP - Club Náutico Mar del Plata;91.0;
44th;3723;Genaro Martinez;CNP - Club Náutico Paraná;93.0;
45th;3926;Gino Pichetti;CNSP - Club Náutico San Pedro;95.0;
46th;4011;Bautista Luque;YCO - Yacht Club Olivos;96.0;
47th;451;Máximo Ortiz;URU - NYC;97.0;
48th;3941;Angela Domine Zeano;YCR - Yacht Club Rosario;100.0;
49th;2972;Baltazar Blanco;CRLP - Club de Regatas La Plata;101.0;
50th;3893;Delfina Cots;YCA - Yacht Club Argentino;102.0;
51st;3989;Maria Emilia Bieler;YCO - Yacht Club Olivos;103.0;
52nd;3756;Tomás Molinari;CVB - Club de Veleros Barlovento;104.0;
53rd;3271;Benjamín Andrés Brugo;CRLP - Club de Regatas La Plata;107.0;
54th;3622;Sofia Orella;CNSI - Club Náutico San Isidro;112.0;
55th;3716;Josefina Benvenuto;CSF - Club San Fernando;114.0;
56th;4051;Tobias López Pozzo;CUBA - Club Universitario de Buenos Aire;115.0;
57th;4038;Juan Sebastian Properzi;RRC - Rosario Rowing Club;115.0;
58th;3991;Josefina Molinari;CVB - Club de Veleros Barlovento;116.0;
59th;3730;Tiago Troilo;CPNLB - Club de Pesca y Náutica Las Barr;120.0;
60th;3925;Olivia Cozar;CNSE - Club Náutico Sudeste;122.0;
61st;3888;Nicolas Cozar;YCA - Yacht Club Argentino;123.0;
62nd;3976;Valentina Maestri;YCR - Yacht Club Rosario;125.0;
63rd;3985;Julian Gauna;CNSA - Club Náutico Sportivo Avellaneda;126.0;
64th;3950;Julieta Benedetto;CVB - Club de Veleros Barlovento;127.0;
65th;4029;Octavio Boz;YCR - Yacht Club Rosario;127.0;
66th;3964;Alejandro León Domínguez;CNSA - Club Náutico Sportivo Avellaneda;128.0;
67th;3449;Justino Favero;CRLP - Club de Regatas La Plata;130.0;
